english;french;level;frequency;type;info
to sniff;renifler;B1;5;ACTION;REGULAR
to snore;ronfler;B1;4;STATE;REGULAR
to soak;tremper;B2;5;ACTION;REGULAR
to solve;résoudre;B2;7;ACTION;REGULAR
to sort;classer;A2;6;ACTION;REGULAR
to sound;sonner;A2;6;ACTION;REGULAR
to sow;semer;B1;5;ACTION;IRREGULAR
to sparkle;étinceler;C1;3;STATE;REGULAR
to speak;parler;A2;9;ACTION;REGULAR
to specify;préciser;B2;6;ACTION;REGULAR
to spell;épeler;A2;5;ACTION;REGULAR
to spend;dépenser;A2;8;ACTION;REGULAR
to spill;renverser;B2;4;ACTION;REGULAR
to spin;tourner;B2;5;ACTION;REGULAR
to split;diviser;B2;6;ACTION;IRREGULAR
to spoil;gâcher;B2;4;STATE;REGULAR
to spray;pulvériser;B2;5;ACTION;REGULAR
to spread;étaler;B2;6;ACTION;IRREGULAR
to spring;sauter;B1;6;ACTION;REGULAR
to squeeze;presser;B2;5;ACTION;REGULAR
to stab;poignarder;C1;4;ACTION;REGULAR
to stain;tacher;B2;5;STATE;REGULAR
to stare;fixer du regard;B2;6;ACTION;REGULAR
to start;commencer;A2;9;ACTION;REGULAR
to state;déclarer;B2;6;ACTION;REGULAR
to stay;rester;A2;9;STATE;REGULAR
to steal;voler;B2;4;ACTION;IRREGULAR
to steer;diriger;C1;3;ACTION;REGULAR
to step;marcher;A2;6;ACTION;REGULAR
to stimulate;stimuler;B2;5;ACTION;REGULAR
to stir;remuer;B2;4;ACTION;REGULAR
to stop;arrêter;A2;9;ACTION;REGULAR
to store;stocker;B2;4;ACTION;REGULAR
to strain;tendre;B2;4;ACTION;REGULAR
to strengthen;renforcer;B2;6;ACTION;REGULAR
to stress;souligner - accentuer;B2;5;STATE;REGULAR
to stretch;étirer;A2;6;ACTION;REGULAR
to strike;frapper;B1;8;ACTION;IRREGULAR
to struggle;se battre;B2;6;ACTION;REGULAR
to study;étudier;A1;10;ACTION;REGULAR
to submit;soumettre;B2;5;ACTION;REGULAR
to subscribe;s'abonner;A2;6;ACTION;REGULAR
to subtract;soustraire;A2;4;ACTION;REGULAR
to suck;aspirer;B2;4;ACTION;REGULAR
to suffer;souffrir;A2;6;STATE;REGULAR
to suggest;suggérer;B1;7;ACTION;REGULAR
to suit;convenir;B1;5;STATE;REGULAR
to summarize;résumer;B2;4;ACTION;REGULAR
to supervise;superviser;B2;6;ACTION;REGULAR
to supply;fournir;B2;6;ACTION;REGULAR
to support;soutenir;B2;7;ACTION;REGULAR
to suppose;supposer;B1;6;STATE;REGULAR
to surprise;surprendre;B1;6;ACTION;REGULAR
to surround;entourer;B2;5;ACTION;REGULAR
to survey;enquêter;B2;6;ACTION;REGULAR
to survive;survivre;A2;7;STATE;REGULAR
to suspect;soupçonner;B2;6;STATE;REGULAR
to suspend;suspendre;B2;5;ACTION;REGULAR
to sway;se balancer;B2;4;ACTION;REGULAR
to swear;jurer;B2;5;ACTION;IRREGULAR
to sweat;transpirer;B2;4;STATE;REGULAR
to sweep;balayer;A2;6;ACTION;REGULAR
to swim;nager;A1;9;ACTION;IRREGULAR
to swing;se balancer;B2;5;ACTION;REGULAR
to switch;changer;B1;7;ACTION;REGULAR
to symbolize;symboliser;B2;4;STATE;REGULAR
to synthesize;synthétiser;C1;3;ACTION;REGULAR
to systematize;systématiser;C1;2;ACTION;REGULAR
